"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"부산광역시  (2600000000)","3,306,993","3,306,993","200,627","264,771","386,558","393,792","489,807","539,964","560,595","314,419","139,225","16,774","461","1,613,071","1,613,071","102,935","135,899","198,721","202,721","247,281","263,627","264,217","141,713","52,225","3,655","77","1,693,922","1,693,922","97,692","128,872","187,837","191,071","242,526","276,337","296,378","172,706","87,000","13,119","384"
"부산광역시 중구 (2611000000)","39,311","39,311","931","1,773","5,638","4,310","4,582","6,423","7,849","5,068","2,388","333","16","19,020","19,020","513","859","2,674","2,273","2,486","3,345","3,740","2,191","856","82","1","20,291","20,291","418","914","2,964","2,037","2,096","3,078","4,109","2,877","1,532","251","15"
"부산광역시 서구 (2614000000)","104,449","104,449","5,060","7,063","12,272","10,400","13,778","16,812","19,412","12,559","6,273","800","20","50,298","50,298","2,651","3,616","5,906","5,341","7,048","8,552","9,189","5,515","2,304","168","8","54,151","54,151","2,409","3,447","6,366","5,059","6,730","8,260","10,223","7,044","3,969","632","12"
"부산광역시 동구 (2617000000)","86,809","86,809","3,903","4,636","9,480","10,598","11,324","13,941","15,970","10,784","5,518","640","15","42,344","42,344","2,011","2,382","4,633","5,607","6,112","7,238","7,594","4,664","1,952","146","5","44,465","44,465","1,892","2,254","4,847","4,991","5,212","6,703","8,376","6,120","3,566","494","10"
"부산광역시 영도구 (2620000000)","107,006","107,006","4,364","6,815","10,089","9,716","13,733","17,687","22,147","14,667","7,005","764","19","52,612","52,612","2,215","3,491","5,538","5,268","7,193","9,149","10,614","6,412","2,567","163","2","54,394","54,394","2,149","3,324","4,551","4,448","6,540","8,538","11,533","8,255","4,438","601","17"
"부산광역시 부산진구 (2623000000)","357,475","357,475","19,405","24,054","49,960","49,256","49,715","55,808","58,832","33,228","15,444","1,736","37","171,710","171,710","9,949","12,133","23,646","25,179","25,264","27,126","27,515","14,744","5,736","412","6","185,765","185,765","9,456","11,921","26,314","24,077","24,451","28,682","31,317","18,484","9,708","1,324","31"
"부산광역시 동래구 (2626000000)","272,590","272,590","18,893","25,485","29,383","31,940","43,738","43,823","43,222","24,611","10,230","1,233","32","131,819","131,819","9,726","13,227","15,008","16,062","21,359","21,154","19,809","11,196","4,010","264","4","140,771","140,771","9,167","12,258","14,375","15,878","22,379","22,669","23,413","13,415","6,220","969","28"
"부산광역시 남구 (2629000000)","255,786","255,786","14,568","22,340","32,784","26,678","38,448","41,257","41,271","25,657","11,507","1,240","36","124,724","124,724","7,435","11,445","17,334","13,745","19,236","20,398","18,953","11,345","4,544","282","7","131,062","131,062","7,133","10,895","15,450","12,933","19,212","20,859","22,318","14,312","6,963","958","29"
"부산광역시 북구 (2632000000)","276,684","276,684","16,736","21,609","31,476","33,069","37,773","49,562","51,175","23,869","10,147","1,230","38","136,136","136,136","8,609","11,177","16,733","17,424","19,042","23,205","24,913","11,117","3,688","225","3","140,548","140,548","8,127","10,432","14,743","15,645","18,731","26,357","26,262","12,752","6,459","1,005","35"
"부산광역시 해운대구 (2635000000)","383,355","383,355","24,071","35,804","41,691","42,119","60,575","67,383","61,640","32,945","15,104","1,962","61","183,796","183,796","12,336","18,511","21,742","20,736","28,866","32,000","29,000","14,698","5,466","428","13","199,559","199,559","11,735","17,293","19,949","21,383","31,709","35,383","32,640","18,247","9,638","1,534","48"
"부산광역시 사하구 (2638000000)","300,922","300,922","16,402","23,898","35,004","33,637","43,235","51,446","54,932","29,039","11,849","1,445","35","149,319","149,319","8,527","12,221","18,779","17,871","22,274","25,310","26,234","13,433","4,371","296","3","151,603","151,603","7,875","11,677","16,225","15,766","20,961","26,136","28,698","15,606","7,478","1,149","32"
"부산광역시 금정구 (2641000000)","218,711","218,711","10,393","16,423","29,191","22,469","28,987","36,554","39,810","23,022","10,510","1,317","35","106,730","106,730","5,312","8,386","15,797","11,928","14,521","17,479","18,563","10,383","4,054","302","5","111,981","111,981","5,081","8,037","13,394","10,541","14,466","19,075","21,247","12,639","6,456","1,015","30"
